id,plan_line_ids/budget_method,plan_line_ids/charge_type,plan_line_ids/activity_group_id/id,plan_line_ids/activity_unit,plan_line_ids/unit,plan_line_ids/activity_unit_price,plan_line_ids/total_budget,plan_line_ids/description,plan_line_ids/name,plan_line_ids/m1,plan_line_ids/m2,plan_line_ids/m3,plan_line_ids/m4,plan_line_ids/m5,plan_line_ids/m6,plan_line_ids/m7,plan_line_ids/m8,plan_line_ids/m9,plan_line_ids/m10,plan_line_ids/m11,plan_line_ids/m12
__export__.budget_plan_unit_421,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_420,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_419,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_418,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_417,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_416,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_415,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_414,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_413,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_412,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_411,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_410,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_409,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_408,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_407,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_406,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_405,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_404,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_403,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_402,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_401,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_400,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_399,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_398,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_397,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_396,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_395,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_394,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_393,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_392,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_391,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_390,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_389,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_388,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_387,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_386,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_385,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_384,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_383,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_382,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_381,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_380,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_379,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_378,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_377,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_376,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_375,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
,Expense,External,base.AG0002,4,5,2000,16000,วัสดุคอมพิวเตอร์,,10000,0,0,0,10000,0,0,10000,0,0,10000,0
__export__.budget_plan_unit_374,Expense,External,base.AG0001,1,3,20000,60000,ChormeBook 3 เครื่อง,,60000,0,0,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0013,1,5,10000,50000,"อบรม xxx 5 คน คนละ 10,000 บาท",,0,0,50000,0,0,0,0,0,0,0,0,0
,Expense,External,base.AG0008,12,1,5000,60000,ประชุมคณะกรรมการ KPI ประจำเดือน,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
__export__.budget_plan_unit_373,Expense,External,base.AG0017,2,1,100000,200000,ร่วมงานวิจัยระดับประเทศ,,0,0,0,100000,0,0,0,0,100000,0,0,0
,Expense,External,base.AG0002,12,1,1000,12000,วัสดุวิทยาศาสตร์,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,Expense,External,base.AG0014,1,1,50000,50000,อบรมการคัดกรองสาร xxx ประเทศจีน,,0,0,0,0,50000,0,0,0,0,0,0,0
__export__.budget_plan_unit_372,Expense,External,base.AG0004,6,1,15000,90000,"จ้างพนง. xxx 6 เดือนเดือนละ 15,000 บาท",,0,0,0,15000,15000,15000,15000,15000,15000,0,0,0
